sale_id,sale_date,customer_id,car_id,quantity,sale_price,total_amount,salesperson
S00135,2024-04-06,CU1381,C0402,3,31323.0,93969.0,Jessica Jones
S00136,2024-05-07,CU1777,C0246,2,60421.0,120842.0,Jessica Gibson
S00137,2025-06-02,CU1460,C0071,3,37738.0,113214.0,Dr. William Jones
S00138,2023-05-30,CU0123,C0278,1,51154.0,51154.0,Sandra Stanley
S00139,2025-02-14,CU0586,C0313,1,81500.0,81500.0,Stephanie Cummings
S00140,2025-07-12,CU0908,C0257,1,55078.0,55078.0,Alexis Nixon
S00141,2025-05-15,CU1887,C0440,3,74575.0,223725.0,Bryan Anderson
S00142,2023-03-25,CU1340,C0393,1,96702.0,96702.0,Christopher Alvarez
S00143,2023-11-17,CU1259,C0418,1,47008.0,47008.0,Corey Hernandez
S00144,2024-06-27,CU1467,C0493,1,67410.0,67410.0,Kevin Flynn
S00145,2023-02-04,CU0037,C0251,2,17034.0,34068.0,Kristina Johnson
S00146,2023-05-10,CU0832,C0363,2,49369.0,98738.0,David Chaney
S00147,2024-10-21,CU0538,C0008,2,77451.0,154902.0,Melissa Thompson
S00148,2023-03-20,CU1969,C0485,1,68902.0,68902.0,Mrs. Maria Alvarado
S00149,2024-12-02,CU1340,C0217,1,76281.0,76281.0,Bill Zavala
S00150,2024-06-27,CU0605,C0150,1,92641.0,92641.0,Robert Underwood
S00151,2023-07-05,CU0014,C0045,3,85085.0,255255.0,Jocelyn Nunez
S00152,2023-10-11,CU0416,C0062,3,97692.0,293076.0,Mark Hunt
S00153,2024-07-10,CU1143,C0225,2,93063.0,186126.0,Sarah Buchanan
S00154,2024-04-20,CU0586,C0442,2,50811.0,101622.0,Douglas Haynes
S00155,2025-05-20,CU0214,C0166,3,57898.0,173694.0,Keith Cardenas
S00156,2024-02-29,CU0102,C0042,1,58654.0,58654.0,Richard Hunter Jr.
S00157,2024-11-20,CU1571,C0095,2,65985.0,131970.0,Lauren White
S00158,2023-04-29,CU0540,C0032,3,25054.0,75162.0,Danielle Espinoza
S00159,2022-11-20,CU1829,C0083,3,82461.0,247383.0,Nicole Hunter
S00160,2024-06-18,CU0627,C0141,2,98225.0,196450.0,Michele Harris
S00161,2024-03-20,CU1729,C0294,2,65502.0,131004.0,Jill Jimenez
S00162,2023-01-17,CU1775,C0463,2,18968.0,37936.0,Megan Montgomery
S00163,2024-03-17,CU1102,C0236,1,65456.0,65456.0,Carolyn Morton
S00164,2024-08-20,CU1496,C0455,1,56207.0,56207.0,Colin Myers
S00165,2025-07-07,CU0486,C0399,2,24580.0,49160.0,Paula Crawford
S00166,2023-04-29,CU1440,C0393,1,58355.0,58355.0,Russell Pitts
S00167,2025-09-15,CU0715,C0025,2,43930.0,87860.0,Melissa Choi
S00168,2025-03-12,CU0194,C0219,1,71958.0,71958.0,Savannah Miller
S00169,2023-02-24,CU0781,C0397,2,35901.0,71802.0,Gary Hampton
S00170,2023-04-04,CU0885,C0128,1,92359.0,92359.0,David Webster
S00171,2024-07-16,CU0620,C0104,3,78698.0,236094.0,Dustin Lee
S00172,2023-04-01,CU0182,C0039,1,15656.0,15656.0,Susan Harris
S00173,2025-07-28,CU0614,C0100,3,26131.0,78393.0,John Mcgee
S00174,2023-01-29,CU1584,C0038,3,89450.0,268350.0,Derek Wolf
S00175,2025-06-09,CU1259,C0352,1,72631.0,72631.0,Cassandra Salazar
S00176,2023-05-16,CU0595,C0089,2,58555.0,117110.0,Maria Holmes
S00177,2024-03-19,CU1976,C0358,2,31921.0,63842.0,Cheyenne Carey
S00178,2023-08-09,CU1627,C0243,3,92385.0,277155.0,Brian Rocha
S00179,2025-03-05,CU1486,C0222,3,24468.0,73404.0,Rachel Guerrero
S00180,2024-02-05,CU0201,C0311,3,97186.0,291558.0,James Watts
S00181,2025-08-17,CU0357,C0306,1,40462.0,40462.0,Samuel Reynolds
S00182,2025-03-24,CU1865,C0265,1,29628.0,29628.0,Robert Jackson
S00183,2023-07-27,CU0263,C0301,2,99653.0,199306.0,George Jenkins
S00184,2024-11-20,CU0993,C0147,3,22578.0,67734.0,Jose House
S00185,2024-10-28,CU0549,C0484,1,91529.0,91529.0,Mario Bowers
S00186,2024-06-03,CU0361,C0019,1,24362.0,24362.0,Kimberly Smith
S00187,2023-12-27,CU1192,C0111,3,39246.0,117738.0,Jennifer Stevenson
S00188,2025-06-24,CU0357,C0165,1,37557.0,37557.0,Jennifer Hayden
S00189,2023-09-10,CU1221,C0286,3,75212.0,225636.0,Joshua Maldonado
S00190,2025-06-25,CU1655,C0298,2,64748.0,129496.0,John Turner
S00191,2025-02-22,CU1545,C0223,3,86966.0,260898.0,Mr. Steve Wallace
S00192,2022-12-23,CU0377,C0288,2,78737.0,157474.0,Mark Hensley
S00193,2024-08-06,CU0086,C0196,3,49143.0,147429.0,Brian Wright
S00194,2022-12-06,CU0319,C0443,2,29860.0,59720.0,Scott Sharp
S00195,2024-09-28,CU1296,C0099,2,54511.0,109022.0,Andrew Todd
S00196,2024-10-21,CU1409,C0163,3,22083.0,66249.0,Rachel Garcia
S00197,2024-08-03,CU0412,C0102,3,73170.0,219510.0,Ellen Smith
S00198,2025-04-28,CU0280,C0094,2,19753.0,39506.0,Charles Crosby
S00199,2024-12-25,CU0384,C0120,2,80958.0,161916.0,Stephanie Rice
S00200,2023-11-21,CU0178,C0302,3,82337.0,247011.0,Daniel Murray
S00201,2023-10-20,CU1253,C0287,1,68800.0,68800.0,Janet Hanson
S00202,2025-01-21,CU0096,C0373,1,72923.0,72923.0,Angela Davis
S00203,2023-10-06,CU0550,C0266,2,51539.0,103078.0,Michael Anderson
S00204,2025-10-19,CU1956,C0096,2,75440.0,150880.0,Jeremiah Benson
S00205,2025-05-28,CU0850,C0266,2,84566.0,169132.0,Jeffrey Gonzalez
S00206,2025-01-26,CU0074,C0232,1,95300.0,95300.0,Mr. Bryan Johnson
S00207,2024-07-28,CU0421,C0222,2,59323.0,118646.0,Jason Harris
S00208,2023-09-07,CU0295,C0128,1,47049.0,47049.0,Joshua Garrett
S00209,2023-06-03,CU0824,C0185,2,96746.0,193492.0,Daniel Cooper
S00210,2024-12-14,CU1261,C0310,2,34674.0,69348.0,Kyle Howard Jr.
S00211,2025-05-26,CU0597,C0070,1,45107.0,45107.0,James Johnson
S00212,2024-10-04,CU0254,C0168,1,98774.0,98774.0,Julie Jordan
S00213,2025-06-28,CU1962,C0096,2,96114.0,192228.0,Laura Gibson
S00214,2024-04-03,CU1822,C0265,1,82673.0,82673.0,Matthew Schneider
S00215,2023-06-06,CU0012,C0123,3,61217.0,183651.0,Candace Howard
S00216,2023-07-20,CU1506,C0366,1,67455.0,67455.0,Kenneth Rodriguez
S00217,2024-07-27,CU0468,C0196,2,76737.0,153474.0,David Meadows
S00218,2023-08-29,CU0065,C0120,2,58952.0,117904.0,Michael Bowers
S00219,2023-07-09,CU1309,C0298,3,41716.0,125148.0,Kyle King
S00220,2023-10-14,CU1850,C0032,1,52198.0,52198.0,Garrett Hoover
S00221,2023-03-06,CU0520,C0304,3,32534.0,97602.0,Mr. Alan Edwards
S00222,2025-04-16,CU1161,C0465,1,50935.0,50935.0,Kim Wilson
S00223,2025-10-27,CU0793,C0492,1,43195.0,43195.0,Brittany Mcclain
S00224,2024-07-05,CU0561,C0028,2,85561.0,171122.0,Tracy Lambert
S00225,2024-11-01,CU1416,C0434,3,65857.0,197571.0,Ashley Dixon
S00226,2023-10-15,CU1924,C0414,3,90355.0,271065.0,Wesley Sanders
S00227,2023-06-24,CU1691,C0190,2,57195.0,114390.0,Craig Holland
S00228,2025-06-06,CU1585,C0168,1,29997.0,29997.0,Andrea White
S00229,2024-01-25,CU1309,C0234,2,56022.0,112044.0,Michael Mitchell
S00230,2024-04-03,CU0547,C0321,1,58160.0,58160.0,Richard Walker
S00231,2025-03-17,CU0718,C0052,1,88853.0,88853.0,Chloe Lopez
S00232,2023-10-17,CU0197,C0182,2,61925.0,123850.0,Christine Mccarthy
S00233,2024-10-31,CU0673,C0410,2,35485.0,70970.0,Rhonda Baker
S00234,2024-03-11,CU0644,C0486,2,46903.0,93806.0,Andrew Frost
S00235,2025-04-05,CU0522,C0280,2,74243.0,148486.0,Thomas Carey
S00236,2022-12-26,CU1467,C0140,1,92987.0,92987.0,Rebecca Smith
S00237,2025-07-22,CU1782,C0137,3,27852.0,83556.0,Andrew Medina
S00238,2025-04-15,CU1117,C0227,1,45546.0,45546.0,Susan Harrell
S00239,2024-03-18,CU0579,C0427,3,81423.0,244269.0,Jessica Evans
S00240,2025-05-26,CU1261,C0077,1,59198.0,59198.0,Patricia Maxwell
S00241,2024-07-09,CU0256,C0034,2,41986.0,83972.0,Eric Roach
S00242,2024-10-28,CU1745,C0333,2,56631.0,113262.0,Christine Foley
S00243,2024-11-27,CU0251,C0111,3,89056.0,267168.0,James Hernandez
S00244,2022-11-02,CU1930,C0430,2,32520.0,65040.0,Nicole Bishop
S00245,2023-11-07,CU0758,C0053,1,30471.0,30471.0,Scott Moreno
S00246,2025-07-29,CU0681,C0083,3,26373.0,79119.0,Claire Wilson
S00247,2025-08-02,CU1423,C0462,3,81290.0,243870.0,Joshua Bell
S00248,2025-01-20,CU0943,C0077,2,90198.0,180396.0,Jason Johnston
S00249,2024-11-30,CU1098,C0149,1,54758.0,54758.0,Cody Williams
S00250,2024-02-03,CU1441,C0243,1,88267.0,88267.0,Gina Deleon
S00251,2022-11-21,CU1924,C0218,3,38229.0,114687.0,Mark Martinez
S00252,2024-07-23,CU0508,C0257,2,57451.0,114902.0,Andrew Taylor
S00253,2023-02-09,CU1206,C0409,3,75302.0,225906.0,Cindy Reynolds
S00254,2025-01-10,CU0387,C0401,2,60181.0,120362.0,Paul Waters
S00255,2025-08-24,CU0183,C0020,3,58811.0,176433.0,Taylor Holt
S00256,2025-06-28,CU0740,C0334,3,88589.0,265767.0,James Clark
S00257,2025-02-24,CU1935,C0305,2,18220.0,36440.0,Jessica Martinez
S00258,2025-01-24,CU0588,C0185,2,34751.0,69502.0,Mr. John Zhang Jr.
S00259,2025-09-21,CU0576,C0102,1,33153.0,33153.0,Rhonda Martinez
S00260,2023-06-01,CU1278,C0180,1,78165.0,78165.0,Trevor Garcia
S00261,2024-08-08,CU1040,C0240,2,87438.0,174876.0,Roy Williams
S00262,2024-03-01,CU0076,C0047,2,71217.0,142434.0,Andres Valencia
S00263,2022-12-05,CU0157,C0212,3,17840.0,53520.0,Bryan Robinson
S00264,2023-06-14,CU1405,C0165,3,64231.0,192693.0,Sue Maldonado
S00265,2025-08-15,CU0766,C0186,2,95447.0,190894.0,Nicole Bernard
S00266,2023-09-09,CU1571,C0248,2,79945.0,159890.0,Jessica Watson
S00267,2025-06-03,CU1327,C0350,3,51518.0,154554.0,Dr. Nicholas Berry Jr.
S00268,2024-06-11,CU0614,C0121,1,25276.0,25276.0,Lauren Phillips
S00269,2025-05-09,CU1642,C0142,2,59562.0,119124.0,Kelly Harrison
S00270,2023-08-12,CU0831,C0463,2,68405.0,136810.0,Patricia Briggs
S00271,2023-10-31,CU0389,C0090,2,42933.0,85866.0,Ricardo Salazar
S00272,2023-04-05,CU0040,C0305,2,84361.0,168722.0,Maurice Armstrong
S00273,2025-07-10,CU1635,C0178,1,40520.0,40520.0,Kari Anderson
S00274,2024-02-29,CU1030,C0336,2,36321.0,72642.0,James Tate
S00275,2022-11-28,CU0229,C0427,3,66971.0,200913.0,Katelyn Williams DVM
S00276,2025-07-31,CU0608,C0229,1,93860.0,93860.0,Andrew Osborne
S00277,2024-09-14,CU1215,C0479,1,88240.0,88240.0,Tammy Hawkins
S00278,2024-07-07,CU1524,C0148,1,54232.0,54232.0,Karen Riley
S00279,2024-06-27,CU1860,C0162,3,93810.0,281430.0,Tony Munoz
S00280,2024-07-07,CU1732,C0100,1,64056.0,64056.0,Nicholas Turner
S00281,2025-09-17,CU1332,C0426,1,19318.0,19318.0,Natalie Reyes
S00282,2022-11-17,CU1131,C0495,2,74298.0,148596.0,Jordan Bell
S00283,2024-05-19,CU0756,C0036,3,51591.0,154773.0,Alexander Hill
S00284,2024-05-06,CU1159,C0172,3,96799.0,290397.0,Brandon Gonzalez
S00285,2024-05-01,CU1982,C0438,3,65232.0,195696.0,April Sandoval
S00286,2024-05-31,CU0821,C0258,1,28923.0,28923.0,Victoria Martinez
S00287,2022-12-09,CU0255,C0029,1,29937.0,29937.0,Linda Lawrence
S00288,2023-08-12,CU0392,C0028,2,82636.0,165272.0,Kelly Howard
S00289,2025-09-05,CU1605,C0464,2,52411.0,104822.0,Vickie Hernandez
S00290,2024-07-29,CU1844,C0483,3,73230.0,219690.0,Danny Romero
S00291,2023-07-04,CU1550,C0096,1,79064.0,79064.0,Connie Ashley
S00292,2022-11-23,CU0704,C0238,2,61030.0,122060.0,Gina Montgomery
S00293,2025-07-25,CU0404,C0240,3,60845.0,182535.0,Jerry Duncan
S00294,2024-01-29,CU1939,C0359,1,76585.0,76585.0,Brad Thomas
S00295,2023-08-06,CU1959,C0460,1,47243.0,47243.0,Lori Brown
S00296,2024-07-12,CU0522,C0450,2,98646.0,197292.0,Autumn Howe
S00297,2024-06-02,CU1114,C0318,1,46838.0,46838.0,Renee Henry
S00298,2023-08-01,CU1943,C0467,2,96710.0,193420.0,Kathy Phillips
S00299,2024-03-28,CU1786,C0141,3,54757.0,164271.0,Melissa Leach
S00300,2022-11-30,CU0061,C0241,2,55056.0,110112.0,Robert Schwartz
S00301,2024-09-22,CU0856,C0441,1,48809.0,48809.0,Tyler Terry
S00302,2024-04-30,CU0867,C0263,3,60478.0,181434.0,Stephanie Roberts
S00303,2025-06-27,CU1297,C0457,1,53918.0,53918.0,Karen Mason
S00304,2024-03-24,CU0558,C0119,2,89526.0,179052.0,Charles Davis
S00305,2023-08-07,CU0743,C0463,3,45527.0,136581.0,Steven Evans
S00306,2024-05-12,CU0073,C0102,1,27192.0,27192.0,Jane Hawkins MD
S00307,2025-03-24,CU1493,C0088,2,62432.0,124864.0,Jonathan Smith
S00308,2024-06-02,CU1948,C0312,2,33981.0,67962.0,Mark Rivera
S00309,2023-12-11,CU0425,C0327,2,85217.0,170434.0,Miss Mary Hester
S00310,2024-02-27,CU1982,C0214,2,96150.0,192300.0,Amy Weaver
S00311,2023-01-24,CU1850,C0340,2,68066.0,136132.0,Michael Lee
S00312,2025-01-03,CU0421,C0267,3,56331.0,168993.0,Sheila Savage
S00313,2023-11-27,CU0398,C0167,1,90210.0,90210.0,Peter Fisher
S00314,2024-06-30,CU0718,C0104,3,61701.0,185103.0,Denise Palmer
S00315,2023-12-05,CU0248,C0489,3,92271.0,276813.0,William Spencer
S00316,2022-11-07,CU0808,C0021,2,61022.0,122044.0,Katherine Larsen
S00317,2024-10-03,CU0372,C0397,3,60360.0,181080.0,Marissa Arnold
S00318,2025-05-05,CU0569,C0204,2,81314.0,162628.0,Susan Barnes
S00319,2024-02-11,CU1304,C0266,1,31499.0,31499.0,Eric Glenn
S00320,2025-05-22,CU0794,C0187,3,60067.0,180201.0,Stephen Nichols
S00321,2024-07-07,CU1551,C0208,3,39026.0,117078.0,Thomas Cole
S00322,2025-03-02,CU0484,C0024,1,61354.0,61354.0,Kimberly Lopez
S00323,2024-06-07,CU1504,C0089,2,30109.0,60218.0,Trevor Barron
S00324,2024-04-06,CU0137,C0399,3,53256.0,159768.0,Heather George
S00325,2025-06-04,CU1518,C0462,3,19838.0,59514.0,Sarah Hall MD
S00326,2023-10-11,CU0355,C0451,3,63464.0,190392.0,Kaitlyn Jones
S00327,2025-01-17,CU1340,C0034,3,20894.0,62682.0,Douglas Thompson
S00328,2023-04-10,CU1622,C0287,3,85646.0,256938.0,John Pearson
S00329,2023-10-17,CU0788,C0348,3,57022.0,171066.0,Allison Lewis
S00330,2023-08-08,CU0613,C0500,3,49556.0,148668.0,Bruce Bradley
S00331,2024-06-05,CU1110,C0354,3,80090.0,240270.0,Mark Cox
S00332,2023-10-31,CU0766,C0448,2,28884.0,57768.0,Anthony Lee
S00333,2024-11-13,CU1794,C0126,3,61020.0,183060.0,Carl Williams
S00334,2023-12-24,CU1558,C0150,3,77590.0,232770.0,Meghan Waller
S00335,2024-03-06,CU1860,C0194,2,88734.0,177468.0,Melissa Myers
S00336,2025-06-02,CU1853,C0121,2,68297.0,136594.0,Ann Montgomery
S00337,2024-10-27,CU0848,C0215,3,25017.0,75051.0,Caitlin Bautista
S00338,2024-11-10,CU0532,C0476,3,29543.0,88629.0,Sue Werner
S00339,2024-11-24,CU1957,C0289,3,28463.0,85389.0,Eric Kim
S00340,2023-03-08,CU1241,C0491,3,44435.0,133305.0,Danielle Spears
S00341,2025-05-14,CU0372,C0028,2,70735.0,141470.0,Keith Davidson
S00342,2022-11-14,CU1150,C0146,2,77579.0,155158.0,Christopher Ellis
S00343,2024-09-24,CU0829,C0240,3,95436.0,286308.0,Mark Patrick
